phi_0,phi_1,phi_2,phi_3,phi_4,phi_5,phi_6,phi_7,phi_8,phi_9,phi_10,phi_11,phi_12,phi_13,phi_14,phi_15,phi_16,phi_17
-1.743468378062777,-3.6036293852945107,-4.693459079783859,-3.763855912516476,-4.1938837351152785,-3.9816446834775974,-3.9645569768355067,-3.8710682234997185,-3.962936920785997,-2.3716658034962936,-1.7997343967576453,-3.023313809930512,-3.765413196553151,-4.083414702738712,-1.9779976368659908,-2.205490390055841,-1.912818352251794,-1.8813257512313633
-2.030910690125222,-1.636099845080504,-3.4570289126966998,-4.292076265273426,-1.5711128797680067,-4.017789861507172,-2.0792153743643857,-2.8780833361210596,-4.4369668467817345,-2.31824754092496,-3.385264981836725,-4.197451883559893,-1.8334832733638553,-3.7329523453698275,-3.2307670621966,-3.5492550734607473,-1.8936021697952357,-3.0003935377967714
-4.030330372900501,-3.355190069895934,-1.9762102232524152,-3.545013339191809,-3.697559716190593,-4.128533014425447,-1.9682505859806825,-2.888294894081965,-3.5770716206145603,-3.7065694335189585,-2.4330390707106244,-3.023639029450982,-2.9256181003336623,-4.37640709658348,-2.414364977184094,-3.732762318105356,-3.9423197324681127,-3.123533454102974
-3.1652639804616243,-2.0041166755245374,-4.425469593576323,-3.2207827417274864,-2.7814470982257165,-3.8098885785335694,-2.615701942334885,-2.576711461107349,-4.187041023029009,-4.549876990897132,-3.5412350707436726,-4.05199004893831,-2.9251165499479086,-3.440781030518197,-4.457769963733382,-3.2867607120229785,-3.478247543777651,-2.3454555383172186
-3.1395345663401484,-4.4632099793912845,-4.535680059504927,-4.024833215600077,-4.08660381116724,-4.331529392455917,-1.7149657246289371,-1.6140327956943437,-4.294675825164921,-2.2851994846409935,-4.188632947075244,-4.490660373341137,-2.929286103041904,-4.555721420362129,-2.0947921155719333,-4.696953581824185,-3.35336564026404,-2.0548490034838633
-2.946818001817511,-1.7496528745051205,-4.055726167520451,-3.3143998630710954,-3.200403272031391,-3.7323859973163085,-3.418834811085669,-4.291083273472733,-2.8741205604324627,-4.332298159790368,-4.153726544601569,-3.0848631176806216,-3.6130524603111756,-1.832043343809716,-2.753737694251611,-3.1377648529829605,-3.1687926030662066,-4.492910840618197
-2.489017777870058,-4.106864329170292,-3.5867634575123812,-4.576178105132212,-4.2807100636239666,-1.8781163466602742,-2.987556690993472,-1.9658582100380024,-4.46688046093621,-3.1518027582259056,-1.7940079723880076,-3.575242075545848,-3.9409185929810526,-2.81809526077257,-4.5784198323903365,-3.6333153319525295,-3.6991146208575243,-3.1927859527541393
-1.7788052928386255,-2.416510496123962,-4.610941600670747,-2.7623302385533552,-4.441909899736099,-3.8421003522359727,-2.632748537358184,-2.570923877756539,-3.6374997505393445,-3.2685361993217157,-3.9608032917468172,-4.042014539805859,-3.411945937042935,-3.474223615061969,-4.180927146324244,-2.0895787139093382,-1.6576881261967231,-2.0509845741491373
-2.859216408769021,-3.9170678873962705,-4.448491930049905,-3.2395413014478365,-3.9819623353692095,-1.7583690837304982,-1.9256912841357896,-2.1059950939976333,-3.3677668969596013,-4.479818357353434,-2.6279910555989416,-3.731850214757122,-4.030191601592109,-3.1564007759265835,-3.004580544063625,-3.4500271270380116,-2.5321150177825222,-2.058963682220356
-2.2796119595365063,-1.7389326799456644,-2.5870840090524028,-1.6166407058775696,-1.8839439769166968,-3.266898329981626,-3.7237480145401727,-1.9482518828894198,-3.245583438302175,-2.2266968782727714,-3.400470733173005,-3.1041060095393576,-2.622035925854279,-2.068753439257118,-3.4069990556044396,-1.7221938909969077,-2.9851380049027707,-2.1313874946231195
-4.552947580417092,-2.6239709549016963,-3.262093357749137,-4.621463079440699,-1.9940456125170058,-4.071013260700816,-2.688125291582922,-4.240173925061116,-4.388038481144874,-4.225439836380644,-4.25716008704865,-3.622170812137205,-1.8672521241763804,-2.736365822972706,-1.6407664582949946,-3.6508651187716663,-1.9741660062938746,-4.5493231244507335
-1.723922237007883,-3.7101764061204308,-4.28595264150181,-2.108489032952448,-3.582739761362424,-3.792880472449003,-3.129378169795618,-2.41331457132337,-1.584466401055277,-2.6099265574181114,-2.4126455837180445,-4.2928586269010225,-2.036882037879509,-4.058317394300213,-2.4079421508550523,-3.3984627931044695,-2.847541788964093,-4.213945786808444
-3.6994815724561105,-1.9255158101432763,-1.7824347159454357,-4.556554384050484,-3.838107527274971,-2.108879122991825,-3.4944491535055375,-4.543940940183313,-4.086359600014218,-3.647344587181313,-3.4268487181466325,-4.675377327996567,-4.644890425487009,-4.490382106601761,-4.555934970299806,-4.706993655690279,-2.6681501398195726,-4.373108257590737
-3.4818569679827496,-3.6494919882347467,-3.3529436759858373,-4.461002740300549,-4.304544629473476,-4.226911999294452,-4.67247476374691,-2.9713744684779853,-4.353052336266657,-4.562169939017761,-1.9412821238644025,-2.477011973646527,-1.9797024525914475,-4.498064105201014,-2.1978481116903987,-3.618454429587298,-2.645352120659105,-4.381807510583107
-4.035848392390894,-4.4986725372451755,-3.8056775902697604,-4.247951928937473,-4.572630936796183,-2.563929956330559,-2.7352929697108275,-3.1176541149315407,-1.5717257311918078,-2.8321738115324613,-3.6390986930072744,-4.102715276385815,-2.923000828207209,-2.685824435979777,-4.0766756345134985,-1.9721402822489527,-4.207242364695942,-2.692376745063781
-3.6766668587180567,-3.853215517565495,-2.6041964886408953,-4.1336867929618775,-3.89106914786635,-3.2011746026956267,-3.9866100082971934,-3.4906270719585977,-2.7436894882957263,-2.1324784782097495,-1.6377495837974534,-4.207714899665832,-3.211932628323996,-2.8521954297856627,-3.8243177163213873,-3.1981144364631793,-3.343215160523733,-1.8490714789530145
-2.933796655888325,-1.751207392895453,-3.2138401197777062,-2.4066749441967614,-4.631369503213756,-2.3020875846954496,-1.992583063668779,-1.5712718990050902,-4.239121320742967,-4.223298353468879,-2.540722415234154,-2.502102495031509,-3.3827909692651152,-4.6142063458834075,-4.47871495439006,-3.284944276741739,-2.397606516264914,-4.437726258038665
-2.4922434305515067,-2.246751270221887,-3.2570088642917048,-4.168104905096332,-1.6290950395470047,-3.710631775020625,-4.121090178065813,-4.468143964219856,-2.0596939748151484,-3.8458404276939007,-4.3712241072422495,-4.43828549370248,-3.704305942757168,-2.077132107633311,-3.3257130382759716,-4.000171374485717,-2.6196437205248904,-1.6693781902338922
-1.9659339677610301,-3.907618873725431,-2.8853953571202977,-4.527754284176157,-3.363656029049639,-2.1214832402241,-1.6051678336102393,-1.8400355254281289,-4.302179946350397,-2.9386701881643527,-4.030175192059286,-4.090001393870091,-1.7193975750847827,-2.146883949690935,-4.368816136710008,-1.7305530762494015,-2.164113576326952,-4.500436850235613
-3.329472647029027,-2.6415095686252985,-1.8229708195817875,-3.7566367954835242,-4.128096477991012,-3.984712296070813,-3.425819182947969,-3.7716046453794387,-2.009660701635708,-3.892854793478304,-1.906702016303849,-3.500386542943243,-4.1264781300663795,-2.1022395856989244,-2.880267406512056,-3.838861302211714,-2.566763441683942,-2.51085916662105
-4.661820625392097,-3.8999232091188705,-4.434351103660788,-2.0531385318857343,-4.574717272982003,-4.464982226192284,-4.540969999381877,-4.550443220324114,-4.451280274082327,-1.6451615146815364,-1.965500155985949,-2.5171483494385503,-4.467296034761383,-1.7302336207243263,-1.9173460420631407,-2.489367149605457,-3.225804847089739,-2.2227020705319553
-1.6357710342138576,-4.647369055677906,-4.399029175397583,-3.505806778100041,-2.8892627527199246,-4.112750752719388,-2.8218385883122306,-2.048910270543745,-2.369192471633904,-2.040189217592299,-2.1491757079983174,-2.912664195498623,-4.221801131442991,-3.425268954106623,-3.9178551518780558,-3.3192337154203058,-4.196667828407229,-1.803784118845957
-1.8203791081617906,-3.012050234455063,-2.4745619489696016,-3.4605078603508383,-2.0565068260980457,-1.8562258995270722,-4.298030082712751,-2.1097521326158017,-1.9210144111918668,-1.6001719120161253,-4.6645442188714625,-3.2081997254276398,-3.960601625261986,-3.3610446295266208,-3.818975347863428,-1.62753423111897,-4.580829676622826,-2.786408036478621
-1.581215855598296,-2.5454415664888552,-2.84348869301364,-3.402446656691457,-4.4862251748045106,-4.33228232505965,-4.209612318057687,-3.649656040492353,-3.0913192782785712,-2.899531749745283,-4.0808181747800525,-2.906794404198465,-3.6234200740414817,-2.166314958439118,-4.393034345094429,-3.89335137756083,-2.6078647582636627,-4.377483948616688
-1.5773571304256522,-2.6728647030869395,-1.7712009935726654,-4.1500672110145675,-1.5831245820447433,-4.327500889515072,-2.975427711527513,-1.9206343124703835,-2.939385507816402,-1.5832176648605358,-1.6988427919094784,-3.379995585646625,-2.8618627947854356,-4.288314304848113,-3.7143008082637614,-3.90809386750237,-3.35758355572829,-1.794101067701356
-4.355853427949638,-2.526582268640901,-3.096206972267642,-3.946211392744857,-3.601658260966108,-2.8191372643868022,-3.066481172739807,-3.4332475277764143,-1.8661374189980537,-4.381547671438557,-2.4389454386993727,-4.501725192173452,-3.390149992803432,-4.217592140466644,-2.3571750406832073,-3.6953317434938038,-3.080559553091835,-4.609105692044788
-3.300100222925616,-3.4587105482486504,-4.243559778990495,-4.093461484273884,-1.8406363246517823,-3.3351044585961245,-1.699275732417893,-3.5125016106919262,-2.0495165026057793,-4.563649922320705,-2.4783698651149875,-4.144208368685552,-3.8755043372180142,-4.595253180336747,-3.8876143874422224,-2.568583019542576,-4.315032564113954,-3.261242904260105
-4.176189383144738,-1.7980263466574407,-3.459675663664836,-3.828190547112517,-2.1445786670411167,-1.984737813268815,-4.513929386052678,-4.437675937426916,-4.624784511012547,-2.942959028351862,-3.363748631266861,-2.0475214377935367,-3.4538621165107477,-2.3010031681208933,-2.9764742737792447,-4.198993191818427,-2.920305881568219,-4.062901199291224
-2.305313298782285,-4.0637116246556735,-1.9763591397250413,-4.146536257282206,-2.621492283283688,-4.549918126199288,-4.196965666059574,-1.8092559172626337,-4.043527255366593,-1.8631226667241259,-3.283046630745976,-1.7348378929135242,-3.3678020384075498,-2.2004030655184965,-3.069200963837837,-4.179223942810583,-2.752166873881615,-3.634152194218209
-2.936075850557132,-3.6520351662738664,-4.4067073063752815,-3.49577145416721,-2.391521257170891,-4.253441560236819,-3.958954394029564,-3.7710929267327984,-3.273228090727284,-4.06932960960158,-3.9423356251361596,-3.6752450651356448,-3.432677946008094,-3.404842458320137,-2.8714005515597987,-1.8573295955935656,-3.4619152816343304,-1.9194395647301334
-2.8137151441060957,-2.5475061732399853,-2.61633935929643,-2.1195255543321214,-4.486315177208338,-3.2587729026476118,-2.5375591489178286,-1.7958795250780675,-3.5225838670025413,-3.46431325020849,-4.556698215303673,-2.6080867403917063,-4.22609957097449,-3.552418665048365,-3.417639678985109,-3.5518888806189195,-3.598911945928799,-2.6050958100017865
-2.9140769775472526,-2.1665228265404157,-2.8629127902454385,-2.4147986145575184,-3.413608405742048,-3.0067316359140186,-1.7220395772205794,-2.061841404288444,-4.581865787008378,-3.789072550595813,-4.444645772428122,-2.538827702106572,-1.8496520700028305,-3.112357718315651,-2.1854801332651586,-3.884958253402586,-4.085209326971785,-3.242439956020638
-4.5617171137471,-4.24896424717362,-4.196824804079599,-2.5860570060414085,-3.0160585961166677,-3.8100117155585007,-1.5883984605874524,-4.40313425785086,-4.097095962176766,-1.7610816079983405,-3.800049763773838,-1.8184552517728485,-4.229948089570875,-2.522541263536172,-3.395106082473259,-4.293623320465969,-3.6190194483155294,-3.9379185523562965
-3.35124923715454,-2.9946746339254955,-2.5987199329999693,-3.3858992857485655,-2.243046192149168,-3.6469953109469295,-1.8375758870207415,-2.7783363612113483,-2.4546525433399253,-3.0510081744180075,-4.016357674670214,-4.073250654227367,-4.053055611383384,-2.6514621225721164,-2.410243634659977,-3.2599969917730163,-3.538025094820777,-3.546805851267039
-3.0881111473779144,-1.5739055040723096,-3.093931042031704,-3.9426330684254305,-4.131766849900344,-4.028174718165085,-2.2841878603506918,-2.3188907618091426,-3.6941339114453062,-1.581923425400627,-2.6079161367102537,-3.976437159951711,-4.5337277459749785,-4.541373462714504,-3.640953459544005,-3.967276835646574,-1.8992333690364114,-1.7491234369559532
-4.450693796806436,-2.9950620021816636,-2.7515706306287813,-3.5101149451881852,-2.690572129354989,-2.188354614288989,-4.361052809619979,-2.1572205570066196,-1.8391317815003778,-2.9136981652549414,-3.4610051790394873,-2.517280478298403,-3.059890681632565,-2.4768697829598025,-3.791595987596732,-1.6360451857788894,-1.970864202403626,-3.05198281314581
-3.5330008016233405,-2.021543396263806,-1.8750202232402011,-4.504859741565646,-2.118947968502403,-3.338759505945369,-4.028084889245053,-2.9053497137392332,-4.318559000616843,-3.0947229291112897,-2.6862397078991695,-3.8997366179638986,-3.690534029580342,-1.8295677427746768,-4.52890212775582,-3.8712687680584725,-2.423243518746921,-4.34685440158482
-3.015367067677468,-4.1490370438056,-4.0571382761314485,-3.361166724214935,-1.8488345532626926,-3.4193966255959696,-4.495371346876389,-3.978309076411514,-2.9825644528782385,-3.09060261807007,-3.6025838329095863,-3.6579684428259567,-3.424634922289841,-1.6638292204007685,-3.8465756119335976,-2.28289021849041,-1.932981498488088,-2.737548960899546
-3.1456681474586214,-1.9574240008158932,-3.411964596863359,-4.372708853900523,-4.578184260699577,-2.8273225864537745,-3.8036658782511403,-4.4641709936411775,-2.36369169689203,-2.3827664924550866,-3.884502126335936,-2.557087965905436,-3.1323517204711724,-3.728270595664673,-4.376210527238736,-4.117032864439563,-3.9014576734116533,-2.3516207420118374
-2.669354417322818,-2.907421929240383,-3.404306917269264,-3.6619446069893513,-3.7127754067403025,-2.7030622383237803,-4.623436423508213,-2.809973028265506,-3.4346096944120337,-3.479620706733782,-4.295957943762505,-3.653534677997035,-1.5737708743094143,-4.6085403527234705,-2.5869779260998667,-4.692083266929508,-1.7367440671257133,-1.5840101918614247
-3.062058947169854,-1.6158244238808988,-2.552468799063555,-3.367460231046219,-2.4036653311029603,-4.140239150826151,-4.171628430182009,-3.561987660636767,-4.09723175656781,-3.0622276116690577,-3.9503828843051427,-2.947893965821739,-1.5910985464278657,-1.739370582447905,-3.4908234364396953,-3.3236517535866685,-4.593803633909755,-1.955864869553936
-1.8015297337624347,-3.8958333657697466,-1.7608857645245886,-2.7361455602480778,-2.2713070584794792,-2.07705857650686,-1.8984725912256448,-1.7670375996452243,-4.198774858088377,-3.358425728067078,-3.4497788761038057,-1.7902576998877011,-3.4265323516659514,-1.9831193252107266,-4.307232189979332,-3.1664244360586107,-3.711592617818918,-2.5444329742224596
-3.659198569509492,-3.2246588370163836,-2.23013598452426,-2.0567744156836225,-4.08691164385103,-3.7528148193181488,-3.803259342002476,-1.681982432898414,-4.242092656974968,-3.039959006962508,-3.805566535989551,-3.1791618450118238,-3.7813292471484417,-2.5116573160603104,-2.7399349244132036,-3.6393200443442133,-3.7553484670177735,-2.7756816464663734
-3.7186949635596127,-2.9671556243467503,-2.476491081356182,-1.8738318195486565,-4.524422940876236,-3.748605430832728,-2.152097034821173,-2.642984508679224,-3.2360145452332896,-2.2584263989347995,-2.398224349844151,-1.7087202446663405,-3.899739133121628,-3.024209461844616,-2.818876440074535,-3.5878275764917804,-2.568837737730837,-2.0571877352758734
-2.0132996794302214,-3.2780951263914346,-3.711501621858037,-2.6828104216509874,-2.100496336512091,-2.9036179554064416,-4.465204285665912,-2.07353825768598,-1.8829197577716523,-2.464234534916421,-3.5761984115737198,-2.545566162113048,-3.1656279805034258,-2.0688249249920405,-1.8511903721817289,-2.709844004113771,-3.9700981241463693,-2.9009266071339117
-3.616784105847262,-3.7194750009697293,-2.710398245035036,-3.558518222604383,-4.650375345563082,-4.405754580608139,-1.6901023180199277,-1.6133412036024484,-1.8080147249597047,-2.2715873785665095,-3.9142564867254506,-2.9235674920142833,-2.263489092238979,-1.8795565598884596,-2.292690380034059,-2.108847442085098,-3.4264921086533144,-3.066873472009732
-3.2377781176753464,-2.999583262253893,-3.7977200629675325,-2.3942437467165383,-1.947752030256602,-3.13117363347481,-4.127114202279496,-2.408121950517766,-3.6702536972654496,-2.3661459479764173,-2.2920682757929858,-3.78579074474709,-3.2492091988979945,-2.383601004251459,-2.076854783732488,-3.864031419526307,-3.0081823677875663,-4.395085299354534
-4.199001470604394,-1.8104479240454703,-3.971540315656106,-3.340323592739642,-2.005192962634881,-2.154044621329329,-2.6379840416531986,-1.6405473676481903,-2.6144611131310733,-3.9563561988343476,-4.1339851239889995,-2.0207443627562114,-4.675203073799741,-1.8612267498521646,-2.483783495428474,-4.5875170684633515,-1.9728746119881695,-2.2503022012149687
-3.8919735715439367,-4.663941829128803,-3.866393270758912,-2.8681626828883258,-2.22125803621318,-4.334005846434904,-4.305295523244327,-4.429323911692752,-3.574048747713788,-2.883454495518458,-3.4072037666328274,-2.6050058055280263,-3.182734712343941,-3.1577970662732717,-3.441195023060086,-3.9469302386747445,-3.3428322066625538,-2.193275765118039
-3.7011909433272576,-4.413782756041653,-2.593656545700952,-2.5598580764936854,-3.6657193254876135,-1.6510122726357914,-2.6264670728446866,-3.0387425682306617,-1.606394881938451,-3.4601689688222574,-2.6965094839910972,-3.81615093976743,-3.4780024348084524,-3.0325282813705003,-3.615472805867228,-2.2353000368285443,-4.108619715950839,-2.6306187777090946
-4.675824135075684,-3.156215656201957,-2.3872283343693885,-3.8715766146131765,-2.476057899465941,-3.8698051066225476,-3.7236459669633026,-1.8709519115173938,-3.6551802699700993,-4.095338615846393,-4.305889662312499,-2.8660931391456654,-3.916251458390331,-1.9103397534086146,-2.6532501238397246,-2.1249265904511527,-3.911356593777809,-3.6015132756746326
-4.097018551281564,-2.3358970157507035,-2.21902174052072,-3.964361808771968,-2.5955103331354654,-2.71731380304862,-2.2161940801556477,-3.938950750218501,-4.655813470105787,-2.7892631536628585,-3.1459846286102127,-4.3038716047942245,-3.123738015771715,-3.707857521227223,-1.7603776885428664,-4.055470190208036,-4.301527657016432,-1.6780182558169
-2.655976779742935,-1.881857037721903,-2.6473668968780033,-2.2462630255999323,-4.6816249555912215,-3.477591046515986,-4.457567410453992,-4.132348051307228,-2.3710923230934524,-4.240794513495823,-2.067137867597082,-1.951368113362328,-3.7798675377514,-4.678078628206162,-3.6598495047210715,-1.8305745164272982,-2.781214216132091,-4.487564106793827
-3.140318117313139,-2.053911598007649,-1.761764372749416,-3.6662857974564744,-2.750707990021435,-2.7517244060459958,-1.9289819730025264,-3.9454088640885177,-3.5413116516909673,-4.677698311650744,-1.8685091434007433,-2.4684146643416174,-3.1018834301794707,-2.834155879908776,-4.623036517117595,-3.910318457225343,-4.296650127867974,-2.080515871091753
-1.8548565454932717,-3.644158352743004,-2.61391504759729,-4.011108787370908,-3.5983597427743845,-3.821157382030415,-3.2428354883510107,-3.291614258120701,-2.720669588160814,-2.901062448063657,-3.324725169794461,-3.2041421027636208,-2.351330067385128,-3.7293663581086505,-4.171758316001567,-3.363692200216527,-4.285238665756776,-2.6023873787191367
-4.391548467517417,-4.290718748452027,-4.251851033021616,-4.374588537939971,-2.147753165871956,-3.103131136206791,-3.4464326691571925,-4.297591828508891,-4.152694537955532,-3.9622706366509854,-1.6617795622276352,-4.253100757178199,-3.1101734706277977,-2.618375492273726,-3.9942462048201977,-2.919939856434299,-4.540934628126105,-2.3175742274973565
-3.5523778570911215,-4.332494486596881,-3.3334735199006458,-3.52638621264415,-4.506758433346555,-2.7364483716511625,-3.3141392426268483,-4.054655289462209,-2.6201180701477407,-3.4892452996339323,-3.3369654874094223,-4.0500076354996,-4.121400766564987,-2.6604931581476494,-2.674216227006183,-3.1535951173212875,-1.5858279847701535,-1.9405703271767196
-2.929397534789249,-1.641657380558093,-3.2948658091161604,-3.3462791237104055,-4.441817712398314,-4.396618272855103,-2.0370546640538016,-3.7437173844009113,-1.9860802312340846,-4.059864967670705,-2.6226806326356122,-2.55409504857043,-2.97584665183058,-2.4971546252566985,-2.6079882949154287,-4.618225948347202,-3.081727283994807,-2.197859646103341
-2.7351882466136908,-3.2554693055696085,-2.408394316174592,-4.6558767953676,-2.3510801523680143,-4.685657335543645,-4.706857141886645,-4.471329818732611,-4.63090679218225,-2.8969318635298325,-3.270789461996874,-4.405813978967577,-4.048661326625852,-4.016577990460979,-3.2517165055899504,-3.9998931199254013,-2.6680349198910127,-2.940524813769432
-4.45268442206381,-3.568772866420602,-1.7091153918806654,-4.2842657348317505,-2.779820228868745,-4.466971146510227,-2.8746098877749464,-2.7981107165101693,-2.352884742283488,-2.4246589370610714,-2.005873429601681,-3.2594051303227465,-4.046860072772256,-2.6051341795341387,-4.301145431788684,-2.945503448709763,-2.3411619956429486,-1.5876423584558195
-2.531662083051071,-3.5752527029441783,-1.9139705859767813,-2.2171700117399813,-3.471188351317423,-3.3481877045328075,-3.230303400766253,-1.718967796869129,-3.745776477529762,-3.7193325878045447,-3.8994928568041938,-3.2469872127116304,-1.6793045360396293,-3.394878431842899,-3.9012335033852272,-3.902748848769736,-2.9133892424811667,-1.5903293646550414
-3.3475759811120263,-4.485499918213759,-1.910939633991064,-3.875051585110964,-2.106325628000754,-3.128118721205313,-4.113339752623351,-2.6524469755829565,-3.5307629565020315,-4.040566108311275,-2.5532608904613996,-1.6951911033727463,-3.0988731146379473,-4.323426366439,-4.626639010002009,-3.7619289641170672,-2.1363503264586288,-1.8470098875689844
-2.0293270546366533,-3.766218705434399,-2.1392914591098853,-4.292184058023435,-2.5409192336876414,-4.1670172186762064,-2.0663251788447954,-2.132702128330412,-1.6669318950588456,-4.2575597070991815,-2.046755262040049,-2.7528998452323767,-4.268475965094663,-4.429951417324319,-3.8068855303034863,-4.126737946162024,-4.0817224109955035,-2.806365313968502
-3.5557064240282585,-1.9344027160969715,-3.204173275994907,-1.906628176859765,-2.7083377778751556,-4.249408762813353,-4.572059704791424,-4.269938032286966,-2.3994127049998646,-1.6734467560019533,-2.3487535444245125,-4.296544227148221,-2.108487749473544,-1.9467541617612936,-3.0710712669255353,-2.041457922203576,-3.9813981481151237,-2.6345117814075447
